ROID,MSNAME,DEST,N_RETURNEES,MSISO
RO-01083,Italy,Tunisia,15,ITA
RO-01088,Germany,Afghanistan,45,DEU
RO-01243,Italy,Tunisia,20,ITA
RO-01276,Italy,Nigeria,32,ITA
RO-01275,Italy,Tunisia,30,ITA
RO-01341,Italy,Nigeria,30,ITA
RO-01491,Germany,Georgia,30,DEU
RO-01555,Italy,Tunisia,39,ITA
RO-01542,Germany,North Macedonia,13,DEU
RO-01542,Germany,Serbia,43,DEU
RO-01580,France,Albania,33,FRA
RO-01598,Italy,Tunisia,30,ITA
RO-01330,Italy,Tunisia,11,ITA
RO-01351,Spain,Mauritania,23,ESP
RO-01436,Germany,Georgia,41,DEU
RO-01436,Sweden,Georgia,5,SWE
RO-01444,Germany,Tunisia,22,DEU
RO-01478,Germany,Serbia,63,DEU
RO-01486,France,Albania,21,FRA
RO-01562,Germany,Georgia,39,DEU
RO-01575,Bulgaria,Iraq,1,BGR
RO-01575,Germany,Iraq,21,DEU
RO-01180,Austria,Pakistan,8,AUT
RO-01180,Germany,Pakistan,34,DEU
RO-01180,Sweden,Pakistan,3,SWE
RO-01281,Germany,Montenegro,44,DEU
RO-01342,France,Albania,44,FRA
RO-01342,Luxembourg,Albania,5,LUX
RO-01474,Italy,Tunisia,18,ITA
RO-01518,Italy,Tunisia,23,ITA
RO-01524,France,Albania,33,FRA
RO-01525,Germany,Bangladesh,15,DEU
RO-01525,Iceland,Bangladesh,1,ISL
RO-01525,Malta,Bangladesh,2,MLT
RO-01545,Austria,Russia,20,AUT
RO-01593,Spain,Albania,22,ESP
RO-01593,Spain,Georgia,18,ESP
RO-01602,Italy,Tunisia,29,ITA
RO-01179,Germany,Pakistan,47,DEU
RO-01179,Poland,Pakistan,2,POL
RO-01335,Belgium,Albania,6,BEL
RO-01335,France,Albania,38,FRA
RO-01220,Bulgaria,Afghanistan,1,BGR
RO-01220,Sweden,Afghanistan,22,SWE
RO-01405,Germany,Georgia,55,DEU
RO-01460,Germany,Georgia,39,DEU
RO-01460,Italy,Georgia,5,ITA
RO-01460,Sweden,Georgia,2,SWE
RO-01460,Netherlands,Georgia,1,NLD
RO-01556,Germany,Armenia,9,DEU
RO-01219,Austria,Afghanistan,18,AUT
RO-01219,Bulgaria,Afghanistan,2,BGR
RO-01219,Greece,Afghanistan,2,GRC
RO-01219,Sweden,Afghanistan,24,SWE
RO-01292,Germany,Tunisia,19,DEU
RO-01195,France,Georgia,5,FRA
RO-01195,Germany,Georgia,42,DEU
RO-01195,Italy,Georgia,5,ITA
RO-01305,Germany,Albania,7,DEU
RO-01305,Germany,Moldova,50,DEU
RO-01365,Germany,Ghana,15,DEU
RO-01557,Italy,Tunisia,39,ITA
RO-01526,Austria,Georgia,12,AUT
RO-01526,France,Georgia,4,FRA
RO-01526,Germany,Georgia,18,DEU
RO-01231,Germany,Nigeria,10,DEU
RO-01231,Norway,Nigeria,1,NOR
